1|You creep into this place; it’s so quiet you worry of making too much noise. There seem to be books all over the wall. On the floor, there is a 1 written.|null|null|3|null|null|
2|This room is very barren, with sand all over the floor. Various lines of clothing litter the walls. In the middle of the floor, there is a 3 written.|null|null|null|3|null|
3|You find yourself in a room with a glass DOOR in the corner, leading to an elevator. On the DOOR, there is a set of panels that show 'W N S E'. There are scroll wheels underneath each with numbers 1 through 4.|null|1|5|4|2|
4|The unexpected cold and frigidness of this room throws you off! You wonder if you should've brought your jacket. A 4 is painted in red on the wall.|null|null|null|null|3|
5|There’s paint all over the room of all different shades and colors. It’s fairly hard on your eyes, but you can just make out a 2 painted under all of the mess.|null|3|null|null|null|
6|You crawl into this small space of a door, spotting 5 wooden objects on the way in: an H, a square, a Z, a cross and a U. There’s an indentation at the end of the cluttered, tight room.|null|null|8|null|null|
7|You find yourself in a large room that has a high, but definite ceiling. It has a painting of one man reaching out to another. One looks to be surrounded by people while the other lays alone, naked.|null|null|null|8|null|
8|You’re not sure why, but you can tell this is the center of the area. You can clearly see three doors, but you can’t quite make out what’s in any of them. Some further inspection may be in order.|null|6|10|9|7|
9|You can’t quite make out what this room was supposed to be... There are some shelves with books, but most of them have been torn to shreds! Many rocks lay upon the books and are stacked close to the room’s entrance.|null|null|null|null|8|
10|A man stands patiently in the center of the room. Pews surround you left and right.|1|8|11|null|null|
11|The walls are lined with mahogany trim, and candles are spread evenly on the wall. You walk cautiously but with a purpose.|null|10|null|null|null|
12|Stepping through the doorway, you see that there are many shrubs planted around you, leading straight to a wall. The wall is covered in shrubbery and blocks your way.|null|null|15|13|null|
13|The room has flowers planted everywhere on the ground. As you step forward, you see a man slouching over some azaleas. Sweat drips from his brow.|3|null|16|null|12|
14|Walking into the room, you look around while trying to make sense of the greenhouse layout. You see a giant tree and, beside it, a run-down shed. Around the shed are unlit torches.|null|null|17|15|null|
